hoja,temperatura_c,temp_error_c,mu_promedio,mu_std,mu_promedio_err,n_muestras,p_max_N,p_max_time_s,mu_max,mu_max_err,mu_min_segment,mu_max_segment,archivo_p_vs_t,archivo_mu_vs_t,slope_mu_t,intercept_mu_t,r2_mu_t,onset_time_s,fit_deg_mu_T,fit_coeffs_mu_T,fit_poly_str
40,40.0,0.12,0.6872548855144294,0.41082343230408486,0.1838080709321336,5,239.66373868500003,14.0,1.053041138023305,0.41090979770621755,0.15858375804070443,1.053041138023305,40_p_vs_t.png,40_mu_vs_t.png,,,,6.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
50,50.0,0.15,0.6221762546267003,0.42615356907558233,0.1906466561412709,5,243.217668645,10.0,1.0686564933960772,0.4262393155783653,0.13467382234437061,1.0686564933960772,50_p_vs_t.png,50_mu_vs_t.png,,,,4.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
"56,8",56.0,0.168,0.577271766635031,0.4324483173655132,0.19345189833851767,5,234.91437808999999,8.0,1.0321732665910928,0.4325271455273167,0.11190142909241098,1.0321732665910928,56_8_p_vs_t.png,56_8_mu_vs_t.png,,,,2.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
67,67.0,0.201,0.874744286486344,0.48168653044037124,0.2155304017669153,5,285.67163716,12.0,1.2551919099089597,0.481791185098324,0.21670183565327425,1.2551919099089597,67_p_vs_t.png,67_mu_vs_t.png,,,,6.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
72,72.0,0.216,0.6039607099052251,0.5151892197297604,0.257639919690142,4,291.70076558,12.0,1.2816828604696122,0.5152912434991186,0.13275206503304157,1.2816828604696122,72_p_vs_t.png,72_mu_vs_t.png,,,,6.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
75,75.0,0.225,0.7845070085372069,0.5662294615071185,0.2533032757299058,5,324.787422015,12.0,1.4270599230860486,0.5663445409644048,0.14534259163327357,1.4270599230860486,75_p_vs_t.png,75_mu_vs_t.png,,,,6.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
84,84.0,0.252,0.8191046725631832,0.45124545277207045,0.20190946339196073,5,275.293259465,12.0,1.2095911080574009,0.4513491971068378,0.2061149349493831,1.2095911080574009,84_p_vs_t.png,84_mu_vs_t.png,,,,6.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
92,92.0,0.276,0.7498925399069387,0.49832125840139685,0.20352723596698816,6,276.07779146499996,10.0,1.213038206373686,0.49841574024394486,0.11857156433442301,1.213038206373686,92_p_vs_t.png,92_mu_vs_t.png,,,,2.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
100,100.0,0.3,0.7978847662154206,0.5000975449748248,0.25013023069767454,4,275.17656033000003,10.0,1.2090783521828536,0.5001910776887137,0.19106404192590246,1.2090783521828536,100_p_vs_t.png,100_mu_vs_t.png,,,,4.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
120,120.0,0.36,0.5997229334126419,0.29276222673592256,0.1464597182744902,4,184.757286,16.0,0.8117916534851839,0.2928342496489277,0.19106404192590246,0.8117916534851839,120_p_vs_t.png,120_mu_vs_t.png,,,,10.0,4,"[1.5376001065340416e-07, -5.148708735308385e-05, 0.0059648782509943215, -0.2799566620139829, 5.604817510091374]",1.5376001e-07*T**4 + -5.1487087e-05*T**3 + 0.0059648783*T**2 + -0.27995666*T + 5.6048175
